Epoch [1/20], Train Loss: 0.6644, Train Acc: 0.6012, Val Loss: 0.5634, Val Acc: 0.6780
Epoch [2/20], Train Loss: 0.5271, Train Acc: 0.7206, Val Loss: 0.4863, Val Acc: 0.7622
Epoch [3/20], Train Loss: 0.4707, Train Acc: 0.7644, Val Loss: 0.4421, Val Acc: 0.7820
Epoch [4/20], Train Loss: 0.4261, Train Acc: 0.7921, Val Loss: 0.4213, Val Acc: 0.7970
Epoch [5/20], Train Loss: 0.4033, Train Acc: 0.8037, Val Loss: 0.4205, Val Acc: 0.7813
Epoch [6/20], Train Loss: 0.3927, Train Acc: 0.8054, Val Loss: 0.4302, Val Acc: 0.7898
Epoch [7/20], Train Loss: 0.3812, Train Acc: 0.8144, Val Loss: 0.4167, Val Acc: 0.7965
Epoch [8/20], Train Loss: 0.3675, Train Acc: 0.8245, Val Loss: 0.3569, Val Acc: 0.8269
Epoch [9/20], Train Loss: 0.3449, Train Acc: 0.8360, Val Loss: 0.3386, Val Acc: 0.8373
Epoch [10/20], Train Loss: 0.3349, Train Acc: 0.8406, Val Loss: 0.3225, Val Acc: 0.8499
Epoch [11/20], Train Loss: 0.3363, Train Acc: 0.8417, Val Loss: 0.3633, Val Acc: 0.8187
Epoch [12/20], Train Loss: 0.3286, Train Acc: 0.8485, Val Loss: 0.3618, Val Acc: 0.8310
Epoch [13/20], Train Loss: 0.3309, Train Acc: 0.8468, Val Loss: 0.3265, Val Acc: 0.8397
Epoch [14/20], Train Loss: 0.3091, Train Acc: 0.8561, Val Loss: 0.2973, Val Acc: 0.8610
Epoch [15/20], Train Loss: 0.3066, Train Acc: 0.8602, Val Loss: 0.3130, Val Acc: 0.8421
Epoch [16/20], Train Loss: 0.3009, Train Acc: 0.8607, Val Loss: 0.3029, Val Acc: 0.8564
Epoch [17/20], Train Loss: 0.2926, Train Acc: 0.8662, Val Loss: 0.2907, Val Acc: 0.8612
Epoch [18/20], Train Loss: 0.2870, Train Acc: 0.8710, Val Loss: 0.3118, Val Acc: 0.8475
Epoch [19/20], Train Loss: 0.2784, Train Acc: 0.8710, Val Loss: 0.2882, Val Acc: 0.8677
Epoch [20/20], Train Loss: 0.2766, Train Acc: 0.8783, Val Loss: 0.2737, Val Acc: 0.8692
